Unnamed: 0,Formula,Composto,Ant (A),Ant (B),Ant (C),Max,Min
77.0,C2H2,acetylene,"16,3481","1637,14","-19,77",202.0,194.0
79.0,C2H2O,ketene,"16,0197","1849,21","-35,15",255.0,170.0
80.0,C2H3Cl,vynil cholride,"14,9601","1803,84","-43,15",290.0,185.0
82.0,C2H3ClO,acetyl chloride,"15,7514","2447,33","-55,53",355.0,237.0
83.0,C2H3Cl3,"1,1,2-trichloroethane","16,0381","3110,79","-56,16",428.0,302.0
85.0,C2H3F3,"1,1,1,-trifluoromethane","15,8965","1814,91","-29,92",300.0,270.0
86.0,C2H3N,acetonitrile,"16,2874","2945,47","-49,15",390.0,260.0
87.0,C2H3NO,methil isocyanate,"16,3258","2480,37","-56,31",340.0,230.0
88.0,C2H4,ethylene,"15,5368","1347,01","-18,15",182.0,120.0
89.0,C2H4Cl2,"1,1-dichloroethane","16,0842","2697,29","-45,03",352.0,242.0
90.0,C2H4Cl2,"1,2-dichloroethane","16,1764","2927,17","-50,22",373.0,240.0
91.0,C2H4F2,"1,1-difluorethane","16,1871","2095,35","-29,16",273.0,238.0
92.0,C2H4O,acetaldehyde,"16,2481","2465,15","-37,15",320.0,210.0
93.0,C2H4O,ethylene oxide,"16,7400","2567,61","-29,01",310.0,200.0
94.0,C2H4O2,acetic acid,"16,8080","3405,57","-56,34",430.0,290.0
95.0,C2H4O2,methil formade,"16,5108","2590,87","-42,60",324.0,225.0
96.0,C2H5Br,ethyl bromide,"15,9338","2511,68","-41,44",333.0,226.0
97.0,C2H5Cl,ethyl chloride,"15,9800","2332,01","-36,48",310.0,200.0
98.0,C2H5F,ethyl fluoride,"16,0686","1966,89","-27,00",252.0,170.0
99.0,C2H5N,ethylene imine,"16,4227","2610,44","-63,15",359.0,248.0
100.0,C2H6,ethane,"15,6637","1511,44","-17,16",199.0,130.0
101.0,C2H6O,dimethyl eter,"16,8467","2361,44","-17,10",265.0,179.0
102.0,C2H6O,ethanol,"18,9119","3803,98","-41,68",369.0,270.0
103.0,C2H6O2,ethylene glicol,"20,2501","6022,18","-28,25",494.0,364.0
104.0,C2H6S,ethyl mercaptan,"16,0077","2497,23","-41,77",330.0,224.0
105.0,C2H6S,dimethyl sulfide,"16,0001","2511,56","-42,35",331.0,226.0
106.0,C2H6N,ethyl amine,"17,0073","2618,73","-37,30",316.0,215.0
107.0,C2H7N,dimethyl amine,"16,2653","2358,77","-35,15",310.0,218.0
108.0,C2H7NO,monoethanolamine,"17,8174","3988,33","-86,93",477.0,344.0
109.0,C2H8N2,ethylenediamine,"16,4082","3108,49","-72,15",425.0,292.0
110.0,C3H3N,acrylonitrile,"15,9253","2782,21","-51,15",385.0,255.0
111.0,C3H4,propadiene,"13,1563","1054,72","-77,08",257.0,174.0
112.0,C3H4,methyl acetilene,"15,6227","1850,66","-44,07",267.0,183.0
113.0,C3H4O,acrolein,"15,9057","2606,53","-45,15",360.0,235.0
114.0,C3H4O2,acrylic acid,"15,5617","3319,18","-80,15",450.0,315.0
115.0,C3H4O2,vynil formate,"16,6531","2569,68","-63,15",350.0,240.0
116.0,C3H5Cl,allyl chloride,"15,9772","2531,92","-47,15",350.0,230.0
